kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
selfishness_gap,davis_threshold,0.0,108.76117048043568,1.0876117048043568,1.0806571462183416,1.0957199149431942,28,paired
selfishness_gap_vs_so,davis_threshold,0.0,8.750242341182984,-0.14088626757288814,-0.1532894408776305,-0.12944439214887035,28,paired
selfishness_gap,davis_threshold,0.17,105.59809700350226,1.0559809700350227,1.0486803657546826,1.0638792642737949,28,paired
selfishness_gap_vs_so,davis_threshold,0.17,5.607472431369752,-0.09049279840130582,-0.10268906937689311,-0.07922889191549638,28,paired
selfishness_gap,davis_threshold,0.28,106.7785623105561,1.067785623105561,1.060221073184696,1.0749112562892618,27,paired
selfishness_gap_vs_so,davis_threshold,0.28,6.793702674635138,-0.10957607840859931,-0.12195563264003531,-0.0978433878400819,27,paired
selfishness_gap,davis_threshold,0.5,110.77218995035503,1.1077218995035503,1.0972044136834318,1.119684508488192,32,paired
selfishness_gap_vs_so,davis_threshold,0.5,10.755944478307315,-0.17304491592339322,-0.18988006255128023,-0.15714321806379086,32,paired
toll_gap,davis_threshold,0.17,-32.297208209505456,-0.04439658133455682,-0.06593776710089007,-0.023596452961057206,19,paired
toll_gap,davis_threshold,0.28,-24.396875495753594,-0.03353657877269715,-0.05435935460534701,-0.013411195282083418,19,paired
toll_gap,davis_threshold,0.5,28.325845424806804,0.03893744289335824,0.01291796203043254,0.06497224950895891,22,paired
toll_direct,davis_threshold,0.17,-2.110192162235656,0.03687659511296179,0.02386340423683761,0.05032389983159521,35,paired
toll_direct,davis_threshold,0.28,-1.318387198096075,0.02303943298452633,0.006881019500398229,0.03767754922585997,33,paired
toll_direct,davis_threshold,0.5,1.5689125929923822,-0.02741748144780854,-0.042601452902138834,-0.010429590797644573,34,paired
second_best_toll,davis_threshold,0.17,-2.110192162235656,0.03687659511296179,0.0232849417006891,0.04971359858651172,35,paired
selfishness_gap,ema,0.0,115.94918507363599,1.1594918507363599,1.146318755350884,1.1720532807194244,27,paired
selfishness_gap_vs_so,ema,0.0,15.974275908144724,-0.25719928913120316,-0.27681020562672504,-0.2388768633843787,27,paired
selfishness_gap,ema,0.17,114.88208999703626,1.1488208999703626,1.1370727771102709,1.1598095928676166,30,paired
selfishness_gap_vs_so,ema,0.17,14.90196137172538,-0.24048628017350504,-0.2583659085449379,-0.22481930458988914,30,paired
selfishness_gap,ema,0.28,113.66518896502849,1.1366518896502849,1.1241076133602483,1.1513324200550252,25,paired
selfishness_gap_vs_so,ema,0.28,13.701199859526858,-0.22098755597661401,-0.24280939757477937,-0.20143802201030248,25,paired
selfishness_gap,ema,0.5,110.28890057617369,1.1028890057617369,1.093226004067411,1.1125286566168653,35,paired
selfishness_gap_vs_so,ema,0.5,10.296966060318685,-0.1656607311210565,-0.18342951628334755,-0.15108820781289528,35,paired
toll_gap,ema,0.17,-4.181993381611181,-0.010694435825080983,-0.04285690815768692,0.019304566530358603,20,paired
toll_gap,ema,0.28,-15.961392710394913,-0.040817398413593275,-0.06587189880868005,-0.015726359653207737,17,paired
toll_gap,ema,0.5,-33.840308741528446,-0.08653839858488105,-0.11296802106647663,-0.06012052874700498,22,paired
toll_direct,ema,0.17,-0.6395819555991668,0.01193338392092408,-0.006579305538668104,0.03055761908805142,33,paired
toll_direct,ema,0.28,-1.3703675611228097,0.025568454638997932,0.0075228059958743,0.042460237257539134,31,paired
toll_direct,ema,0.5,-4.9524315122876095,0.09240296112301341,0.07521703070533053,0.10841907200466369,35,paired
second_best_toll,ema,0.5,-4.9524315122876095,0.09240296112301341,0.07482925823071876,0.10836206277991468,35,paired
selfishness_gap,habit,0.0,106.77493718293292,1.0677493718293292,1.0593696825988959,1.0770815039723283,28,paired
selfishness_gap_vs_so,habit,0.0,6.774603748595313,-0.10907682315640346,-0.12337430530423527,-0.09621019722403765,28,paired
selfishness_gap,habit,0.17,104.63818251861245,1.0463818251861245,1.0382805981020504,1.0537286394514649,32,paired
selfishness_gap_vs_so,habit,0.17,4.642914865438446,-0.07492687018167221,-0.08620559532548458,-0.06157224270241902,32,paired
selfishness_gap,habit,0.28,104.17638488309866,1.0417638488309866,1.0334761580780387,1.0495505433907493,24,paired
selfishness_gap_vs_so,habit,0.28,4.191202260442836,-0.06760017762202813,-0.08168302597894898,-0.05582309933937431,24,paired
selfishness_gap,habit,0.5,107.83041153632622,1.0783041153632622,1.071193116319199,1.0851168164449692,32,paired
selfishness_gap_vs_so,habit,0.5,7.84098268196311,-0.12614812131966469,-0.13745175632548923,-0.11444214882754104,32,paired
toll_gap,habit,0.17,-30.637492467042176,-0.03469660308954743,-0.054662272834728534,-0.016757215295112125,21,paired
